id,room_id/id,noted_date,temp,out/in
__export__.temp_log_196134_bd201015,Room Admin,2018-12-08,29,in
__export__.temp_log_196131_7bca51bc,Room Admin,2018-12-08,29,in
__export__.temp_log_196126_d30b72fb,Room Admin,2018-12-08,31,in
__export__.temp_log_196125_b0fa0b41,Room Admin,2018-12-08,31,in
__export__.temp_log_196121_01544d45,Room Admin,2018-12-08,29,in
__export__.temp_log_196122_f8b80a9f,Room Admin,2018-12-08,29,in
__export__.temp_log_196111_6b7a0848,Room Admin,2018-12-08,29,in
__export__.temp_log_196112_e134aebd,Room Admin,2018-12-08,29,in
__export__.temp_log_196101_d5ec7633,Room Admin,2018-12-08,29,in
__export__.temp_log_196099_3b8ef67b,Room Admin,2018-12-08,29,in
__export__.temp_log_196095_788b2c27,Room Admin,2018-12-08,29,in
__export__.temp_log_196096_eafb59b6,Room Admin,2018-12-08,29,in
__export__.temp_log_196090_b5f7ca9c,Room Admin,2018-12-08,29,in
__export__.temp_log_196087_e04d9477,Room Admin,2018-12-08,29,in
__export__.temp_log_196082_e025abaa,Room Admin,2018-12-08,29,in
__export__.temp_log_196081_db1796b5,Room Admin,2018-12-08,29,in
__export__.temp_log_196077_d97a0ff1,Room Admin,2018-12-08,29,in
__export__.temp_log_196076_93e253c7,Room Admin,2018-12-08,29,in
__export__.temp_log_196073_6cce2ad3,Room Admin,2018-12-08,29,in
__export__.temp_log_196071_cfb015ff,Room Admin,2018-12-08,29,in
__export__.temp_log_196065_a29349e0,Room Admin,2018-12-08,29,in
__export__.temp_log_196063_5facf520,Room Admin,2018-12-08,29,in
__export__.temp_log_196052_a206be15,Room Admin,2018-12-08,29,in
__export__.temp_log_196050_3c252aff,Room Admin,2018-12-08,29,in
__export__.temp_log_196039_a167c302,Room Admin,2018-12-08,29,in
__export__.temp_log_196037_fdf98314,Room Admin,2018-12-08,30,in
__export__.temp_log_196035_689daecd,Room Admin,2018-12-08,29,in
__export__.temp_log_196033_cec7562b,Room Admin,2018-12-08,30,in
__export__.temp_log_196026_8ad54b4f,Room Admin,2018-12-08,30,in
__export__.temp_log_196022_1b205f24,Room Admin,2018-12-08,29,in
__export__.temp_log_196021_0ed345a9,Room Admin,2018-12-08,29,in
__export__.temp_log_196020_dbaffc92,Room Admin,2018-12-08,29,in
__export__.temp_log_196018_adf4ef79,Room Admin,2018-12-08,29,in
__export__.temp_log_196014_8d2b9031,Room Admin,2018-12-08,30,in
__export__.temp_log_196015_db31e3bc,Room Admin,2018-12-08,30,in
__export__.temp_log_196003_7a23e92c,Room Admin,2018-12-08,29,in
__export__.temp_log_196000_3f2ed7ca,Room Admin,2018-12-08,29,in
__export__.temp_log_195999_728bba0f,Room Admin,2018-12-08,31,in
__export__.temp_log_195994_6650de18,Room Admin,2018-12-08,29,in
__export__.temp_log_195993_ca94691a,Room Admin,2018-12-08,29,in
__export__.temp_log_195983_fec1f952,Room Admin,2018-12-08,29,in
__export__.temp_log_195976_f524a948,Room Admin,2018-12-08,29,in
__export__.temp_log_195977_e1805396,Room Admin,2018-12-08,29,in
__export__.temp_log_195972_db46be7e,Room Admin,2018-12-08,29,in
__export__.temp_log_195969_8f5806db,Room Admin,2018-12-08,29,in
__export__.temp_log_195966_7067918d,Room Admin,2018-12-08,30,in
__export__.temp_log_195967_fd90463b,Room Admin,2018-12-08,30,in
__export__.temp_log_195965_d674087f,Room Admin,2018-12-08,29,in
__export__.temp_log_195964_78b18ce8,Room Admin,2018-12-08,29,in
__export__.temp_log_195960_83b2ac63,Room Admin,2018-12-08,29,in
__export__.temp_log_195958_d1f1c452,Room Admin,2018-12-08,29,in
__export__.temp_log_195952_80703f87,Room Admin,2018-12-08,29,in
__export__.temp_log_195953_8d40d5d6,Room Admin,2018-12-08,29,in
__export__.temp_log_195946_950a05dd,Room Admin,2018-12-08,29,in
__export__.temp_log_195947_788677b5,Room Admin,2018-12-08,29,in
__export__.temp_log_195937_fb578c35,Room Admin,2018-12-08,29,in
__export__.temp_log_195935_ab01285d,Room Admin,2018-12-08,29,in
__export__.temp_log_195929_7e57e39e,Room Admin,2018-12-08,29,in
__export__.temp_log_195928_bf913f02,Room Admin,2018-12-08,29,in
__export__.temp_log_195923_6788ab66,Room Admin,2018-12-08,29,in
__export__.temp_log_195921_54b29c20,Room Admin,2018-12-08,29,in
__export__.temp_log_195915_0f898d60,Room Admin,2018-12-08,29,in
__export__.temp_log_195914_c287670c,Room Admin,2018-12-08,29,in
__export__.temp_log_195909_4bb4aa6e,Room Admin,2018-12-08,29,in
__export__.temp_log_195910_45867a15,Room Admin,2018-12-08,29,in
__export__.temp_log_195905_c6c4e9b4,Room Admin,2018-12-08,29,in
__export__.temp_log_195904_2e517ede,Room Admin,2018-12-08,29,in
__export__.temp_log_195897_5db0f878,Room Admin,2018-12-08,29,in
__export__.temp_log_195898_e3dd9f74,Room Admin,2018-12-08,29,in
__export__.temp_log_195895_f547a4eb,Room Admin,2018-12-08,29,in
__export__.temp_log_195894_3bedeaeb,Room Admin,2018-12-08,29,in
__export__.temp_log_195891_1322e658,Room Admin,2018-12-08,30,in
__export__.temp_log_195890_324848c7,Room Admin,2018-12-08,30,in
__export__.temp_log_195887_7278790d,Room Admin,2018-12-08,29,in
__export__.temp_log_195885_53d95e8e,Room Admin,2018-12-08,29,in
__export__.temp_log_195881_8bf9697a,Room Admin,2018-12-08,30,in
__export__.temp_log_195880_5ba2a991,Room Admin,2018-12-08,30,in
__export__.temp_log_195877_bcc1e881,Room Admin,2018-12-08,29,in
__export__.temp_log_195875_3859808a,Room Admin,2018-12-08,29,in
__export__.temp_log_195867_b370c0e5,Room Admin,2018-12-08,29,in
